,ITEM,PRICE,SALES
0,Master Of Ikea XS,25,0
1,Master Of Ikea S,25,0
2,Master Of Ikea M,25,0
3,Master Of Ikea L,25,0
4,Master Of Ikea XL,25,0
5,Master Of Ikea XXL,25,0
6,Master Of Ikea XXXL,25,0
7,Profanar La Tumba XS,25,0
8,Profanar La Tumba S,25,0
9,Profanar La Tumba M,25,0
10,Profanar La Tumba L,25,0
11,Profanar La Tumba XL,25,0
12,Profanar La Tumba XXL,25,0
13,Profanar La Tumba XXXL,25,0
14,Pasadena 1995 XS,25,0
15,Pasadena 1995 S,25,0
16,Pasadena 1995 M,25,0
17,Pasadena 1995 L,25,0
18,Pasadena 1995 XL,25,0
19,Pasadena 1995 XXL,25,0
20,Pasadena 1995 XXXL,25,0
21,Other Bands Play CD,15,0
22,Into Gay Pride CD,15,0
23,A Knight At The Opera CD,15,0
24,Tourmentone CD,15,0
25,Stairway to Valhalla CD,15,0
26,Italian Folk Metal CD,15,0
27,Dislike to False Metal CD,15,0
28,Other Bands Play LP,20,0
29,Into Gay Pride LP,20,0
30,A Knight At The Opera LP,20,0
31,Tourmentone LP,20,0
32,Stairway to Valhalla 2LP,25,0
33,Italian Folk Metal LP,20,0
34,Dislike to False Metal LP,25,0
35,Patch LOGO,5,0
36,Poster,2,0
